Collection name='THashList', class='THashList', size=4
 TKey Name = Event_1, Title = object title, Cycle = 1
 TKey Name = Event_2, Title = object title, Cycle = 1
 TKey Name = Event_3, Title = object title, Cycle = 1
 TKey Name = Event_4, Title = object title, Cycle = 1
Collection: Event_1
Number of hits: 91
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.00424731  position[mm]: (-373.116,47.0624,1744.76)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.00587887  position[mm]: (-374.771,47.2592,1764.95)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.0115022  position[mm]: (-377.653,47.6555,1800)
  trackID: 67  chamberNb: 4  energy deposit[MeV]: 0.00444602  position[mm]: (-374.733,47.2493,1764.96)
  trackID: 66  chamberNb: 4  energy deposit[MeV]: 0.00188225  position[mm]: (-373.103,47.0607,1744.76)
  trackID: 65  chamberNb: 4  energy deposit[MeV]: 0.00201889  position[mm]: (-370.697,46.7441,1714.9)
  trackID: 64  chamberNb: 4  energy deposit[MeV]: 0.00711251  position[mm]: (-368.607,46.1404,1690.34)
  trackID: 64  chamberNb: 4  energy deposit[MeV]: 0.00499352  position[mm]: (-368.488,46.0748,1690.31)
  trackID: 64  chamberNb: 4  energy deposit[MeV]: 0.00392349  position[mm]: (-368.47,46.1023,1690.31)
  trackID: 80  chamberNb: 4  energy deposit[MeV]: 0.00155095  position[mm]: (-368.48,46.0722,1690.3)
  trackID: 63  chamberNb: 4  energy deposit[MeV]: 0.00153993  position[mm]: (-366.248,46.1572,1660.53)
  trackID: 62  chamberNb: 4  energy deposit[MeV]: 0.00146524  position[mm]: (-363.781,45.842,1631.58)
  trackID: 54  chamberNb: 3  energy deposit[MeV]: 0.00385202  position[mm]: (-296.557,38.2656,875.943)
  trackID: 53  chamberNb: 3  energy deposit[MeV]: 0.00375618  position[mm]: (-294.144,38.1209,848.315)
  trackID: 52  chamberNb: 3  energy deposit[MeV]: 0.00164639  position[mm]: (-292.702,38.0436,831.653)
  trackID: 42  chamberNb: 2  energy deposit[MeV]: 0.00362125  position[mm]: (-234.088,33.4168,196.016)
  trackID: 41  chamberNb: 2  energy deposit[MeV]: 0.00140486  position[mm]: (-232.699,33.3326,180.984)
  trackID: 40  chamberNb: 2  energy deposit[MeV]: 0.0102852  position[mm]: (-220.282,31.7868,46.2652)
  trackID: 40  chamberNb: 2  energy deposit[MeV]: 0.0038545  position[mm]: (-220.254,31.7867,46.2823)
  trackID: 39  chamberNb: 2  energy deposit[MeV]: 0.00905792  position[mm]: (-216.311,31.599,4.68303)
  trackID: 38  chamberNb: 2  energy deposit[MeV]: 0.00170487  position[mm]: (-215.915,32.04,3.35939)
  trackID: 38  chamberNb: 2  energy deposit[MeV]: 0.00580694  position[mm]: (-215.732,32.2079,3.69569)
  trackID: 38  chamberNb: 2  energy deposit[MeV]: 0.00103865  position[mm]: (-215.845,32.19,3.55069)
  trackID: 38  chamberNb: 2  energy deposit[MeV]: 0.00326287  position[mm]: (-215.831,32.2281,3.47981)
  trackID: 38  chamberNb: 2  energy deposit[MeV]: 0.00260548  position[mm]: (-215.846,32.2157,3.47922)
  trackID: 87  chamberNb: 2  energy deposit[MeV]: 0.0014135  position[mm]: (-215.828,32.2232,3.48641)
  trackID: 86  chamberNb: 2  energy deposit[MeV]: 0.00092656  position[mm]: (-216.082,31.0929,2.04135)
  trackID: 88  chamberNb: 2  energy deposit[MeV]: 0.00317494  position[mm]: (-216.106,31.087,2.03735)
  trackID: 85  chamberNb: 2  energy deposit[MeV]: 0.00275149  position[mm]: (-215.717,32.1988,3.68476)
  trackID: 84  chamberNb: 2  energy deposit[MeV]: 0.00341796  position[mm]: (-215.897,32.0188,3.36043)
  trackID: 31  chamberNb: 1  energy deposit[MeV]: 0.00138305  position[mm]: (-158.458,22.6758,-641.971)
  trackID: 30  chamberNb: 1  energy deposit[MeV]: 0.00832123  position[mm]: (-155.496,22.2855,-673.62)
  trackID: 29  chamberNb: 1  energy deposit[MeV]: 0.0025765  position[mm]: (-151.952,21.798,-713.959)
  trackID: 21  chamberNb: 0  energy deposit[MeV]: 0.00181873  position[mm]: (-80.5917,12.594,-1506.2)
  trackID: 20  chamberNb: 0  energy deposit[MeV]: 0.00179595  position[mm]: (-79.8297,12.5189,-1514.56)
  trackID: 19  chamberNb: 0  energy deposit[MeV]: 0.00310765  position[mm]: (-77.9623,12.267,-1535.49)
  trackID: 18  chamberNb: 0  energy deposit[MeV]: 0.00254841  position[mm]: (-75.1756,11.9178,-1567.77)
Collection: Event_3
Number of hits: 116
  trackID: 1  chamberNb: 0  energy deposit[MeV]: 0.0396853  position[mm]: (66.2575,39.9084,-1484.99)
  trackID: 1  chamberNb: 0  energy deposit[MeV]: 0.0102566  position[mm]: (69.9564,42.3642,-1439.66)
  trackID: 1  chamberNb: 0  energy deposit[MeV]: 0.0154524  position[mm]: (73.1866,44.6886,-1400)
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.0102951  position[mm]: (123.072,81.2146,-776.667)
