Evt     Eprim   Etot    LXe     LXeTime PMT     PMTTime Seed1           Seed2           First   Flags
#       MeV     MeV     hits    ns      hits    ns                                      hit

137   	0x1.eb851eb851eb9p-5	0x1.564586f2cde85p-7	9	0x1.a510f0836aa79p-13	8	0x1.11b5336a977fap+5	1	36556168	gamma	gamma electron 
138   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	56	0x1.009b03aee932fp-17	61	0x1.87eb1241dcb4ap+5	1	36556168	gamma	gamma electron 
142   	0x1.eb851eb851eb9p-5	0x1.80769606e0fc8p-7	36	0x1.fa5834826b1e6p-15	8	0x1.5e92db3ea7c48p+5	1	36556168	e-	electron 
144   	0x1.eb851eb851eb9p-5	0x1.b116228134482p-6	18	0x1.bb72d93acb92p-17	35	0x1.515badc2a1385p+5	1	36556168	gamma	gamma electron 
145   	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91934p-6	30	0x1.44a842874f0bdp-15	42	0x1.624a50dfb27dap+5	1	36556168	gamma	gamma electron 
146   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb6p-5	54	0x1.117fd38bdcfaep-9	65	0x1.3ca85d04ae25dp+5	1	36556168	gamma	gamma electron 
151   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb6p-5	68	0x1.3c938c018abe6p-17	43	0x1.67487affb17edp+5	1	36556168	gamma	gamma electron 
152   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	60	0x1.c3aa4107406c1p-18	80	0x1.4e6c14db904dfp+5	1	36556168	gamma	gamma electron 
164   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb6p-5	56	0x1.344914e805d3bp-17	51	0x1.6196e08eb728fp+5	1	36556168	gamma	gamma electron 
166   	0x1.eb851eb851eb9p-5	0x1.f47f2ddd88dcdp-6	15	0x1.98db8c891c892p-10	28	0x1.fc49dd8ade51dp+4	1	36556168	gamma	gamma electron 
167   	0x1.eb851eb851eb9p-5	0x1.f47f2ddd88dccp-6	32	0x1.4ca6cce1fbf7fp-15	17	0x1.5d316093b2d45p+5	1	36556168	gamma	gamma electron 
168   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb6p-5	59	0x1.dd86b5303b792p-10	67	0x1.c2647dd9d27fbp+5	1	36556168	gamma	gamma electron 
169   	0x1.eb851eb851eb9p-5	0x1.a34ca0c282c6fp-6	28	0x1.b5fbb964f3c5fp-10	73	0x1.85376a21afe67p+5	1	36556168	gamma	gamma electron 
172   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb6p-5	67	0x1.9aba285dee5abp-18	80	0x1.73d15a351268fp+5	1	36556168	gamma	gamma electron 
173   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	68	0x1.8b4a4e9ff33efp-18	61	0x1.df9fb0121a33ap+5	1	36556168	gamma	gamma electron 
178   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	63	0x1.e36b37bd60b11p-18	43	0x1.430c70daed944p+5	1	36556168	gamma	gamma electron 
179   	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91939p-6	32	0x1.f380b5471909p-18	24	0x1.67b0f2e465355p+5	1	36556168	gamma	gamma electron 
180   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	73	0x1.ba6de8e8359cap-16	45	0x1.104d4d896c91ap+5	1	36556168	gamma	gamma electron 
188   	0x1.eb851eb851eb9p-5	0x1.514b76276bb87p-6	41	0x1.1e566dbfca91dp-15	21	0x1.9ff6da2175aefp+5	1	36556168	e-	electron 
193   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	62	0x1.3b97354b56649p-17	61	0x1.5d868430ae9ecp+5	1	36556168	gamma	gamma electron 
194   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebap-5	59	0x1.5fe775ed1b597p-18	52	0x1.afacd64cb59p+5	1	36556168	gamma	gamma electron 
195   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebap-5	53	0x1.6f5405b9a8d84p-18	66	0x1.4fd475f00860cp+5	1	36556168	gamma	gamma electron 
196   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	63	0x1.69370b9257077p-10	154	0x1.5f0f385f9d95fp+5	1	36556168	gamma	gamma electron 
198   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	44	0x1.639d431b27903p-18	59	0x1.8c5f885f8469ap+5	1	36556168	gamma	gamma electron 
202   	0x1.eb851eb851eb9p-5	0x1.408b3fe83c81cp-10	4	0x1.6131fc72868ap-18	3	0x1.82257bb1c288dp+6	1	36556168	gamma	gamma electron 
204   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	72	0x1.779be140bee14p-18	68	0x1.4cc94cac8c427p+5	1	36556168	gamma	gamma electron 
208   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	72	0x1.0f03d5699d6a9p-15	64	0x1.853db6fd2f86cp+5	1	36556168	gamma	gamma electron 
209   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb6p-5	64	0x1.5f635c0234074p-18	55	0x1.b0ceeae4f7343p+5	1	36556168	gamma	gamma electron 
210   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	66	0x1.94b4836991257p-18	52	0x1.6ca0ae466fe37p+5	1	36556168	gamma	gamma electron 
213   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	48	0x1.4eb5ed34d30dep-10	93	0x1.477250ab43194p+5	1	36556168	gamma	gamma electron 
214   	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91936p-6	31	0x1.734c4f9f7051p-17	34	0x1.6fa342d98069p+5	1	36556168	gamma	gamma electron 
217   	0x1.eb851eb851eb9p-5	0x1.41066ee67d44cp-5	79	0x1.a5da4165e4b78p-11	33	0x1.0968b4493186fp+5	1	36556168	e-	electron 
220   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	54	0x1.c166ae0f2fcdcp-12	56	0x1.a361a399aabb1p+5	1	36556168	gamma	gamma electron 
225   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	55	0x1.4fcd34155650fp-16	45	0x1.beddea3a19f12p+5	1	36556168	gamma	gamma electron 
230   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb6p-5	55	0x1.dae511126e7dfp-18	56	0x1.84f46c3941bc2p+5	1	36556168	gamma	gamma electron 
232   	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91936p-6	60	0x1.c10dec95276ecp-18	40	0x1.637194f364c9ap+5	1	36556168	gamma	gamma electron 
233   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	62	0x1.b3660db5a9da3p-18	57	0x1.6f11064a893b9p+5	1	36556168	gamma	gamma electron 
234   	0x1.eb851eb851eb9p-5	0x1.f47f2ddd88dc8p-6	34	0x1.50eaf294dde0fp-15	26	0x1.3d7072594866cp+6	1	36556168	gamma	gamma electron 
236   	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91934p-6	22	0x1.22c8870c4d13p-17	36	0x1.c981567aa63f1p+5	1	36556168	gamma	gamma electron 
240   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb6p-5	51	0x1.325be57b6154ep-16	38	0x1.864a64424b58dp+5	1	36556168	gamma	gamma electron 
242   	0x1.eb851eb851eb9p-5	0x1.9d7eb3fc3a66cp-5	65	0x1.227a9cbf6a3c5p-11	50	0x1.2fc19a1b795b2p+5	1	36556168	gamma	gamma electron 
243   	0x1.eb851eb851eb9p-5	0x1.f47f2ddd88dcbp-6	35	0x1.3a577cecfaee9p-16	23	0x1.a9257c8814c89p+5	1	36556168	gamma	gamma electron 
244   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	57	0x1.6586266f2654cp-17	68	0x1.85cc793b3424bp+5	1	36556168	gamma	gamma electron 
249   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb6p-5	48	0x1.00593d47763f1p-17	39	0x1.382bf6c522d6ap+5	1	36556168	gamma	gamma electron 
250   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebap-5	53	0x1.63046e940a8dcp-18	59	0x1.391b37db3153ap+5	1	36556168	gamma	gamma electron 
252   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	50	0x1.b75f8d2af41f6p-18	53	0x1.7e91cd701eff1p+5	1	36556168	gamma	gamma electron 
255   	0x1.eb851eb851eb9p-5	0x1.52762380a4fdcp-7	14	0x1.cf489c76e5393p-15	8	0x1.322a1e3e61c07p+5	1	36556168	gamma	gamma electron 
257   	0x1.eb851eb851eb9p-5	0x1.2202e2f59d808p-5	37	0x1.301d6e0974f2ap-15	27	0x1.5cee4df84dbddp+5	1	36556168	gamma	gamma electron 
258   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb6p-5	45	0x1.deeee2cd1526bp-18	70	0x1.ab5efa0bb2c5bp+5	1	36556168	gamma	gamma electron 
261   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebap-5	58	0x1.1c0c7b8b45843p-10	71	0x1.b55f3bc5dc72cp+5	1	36556168	gamma	gamma electron 
263   	0x1.eb851eb851eb9p-5	0x1.158c283552bbcp-6	17	0x1.392a2a3527c64p-11	17	0x1.508e5c34dce26p+5	1	36556168	gamma	gamma electron 
271   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebap-5	54	0x1.4f85f1d1c0852p-18	59	0x1.d67bcb952bfep+5	1	36556168	gamma	gamma electron 
